0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
0xa0000348: 23 22 d1 00     sw	a3, 4(sp)
0xa000034c: 63 f4 66 0e     bgeu	a3, t1, 0xe8
0xa0000350: 93 87 15 00     addi	a5, a1, 1
0xa0000354: 13 05 50 02     addi	a0, zero, 0x25
0xa0000358: 23 20 f1 00     sw	a5, 0(sp)
0xa000035c: 63 0e a7 02     beq	a4, a0, 0x3c
0xa0000360: 23 80 e2 00     sb	a4, 0(t0)
0xa0000364: 03 c7 15 00     lbu	a4, 1(a1)
0xa0000368: 93 83 06 00     mv	t2, a3
0xa000036c: 83 25 01 00     lw	a1, 0(sp)
0xa0000370: b3 02 d6 00     add	t0, a2, a3
0xa0000374: e3 18 07 fc     bnez	a4, -0x30
0xa0000344: 93 86 13 00     addi	a3, t2, 1
